key,0,1,2,3,4,5,6,7
#,,Image,GridText,,,,,Text
int32,int32,Image,str,int32,uint32,byte,int32,str
0,0,,"",0,0,0,0,"无"
1,3,,"",12,0,2,0,"★ 相片"
2,3,,"",22,0,4,0,"★ 拍立得"
3,3,,"",32,0,6,0,"★ 电影"
4,3,,"",18,0,100,0,"★ 浮世绘"
5,3,,"",30,0,101,0,"★ 上下装饰1"
6,3,,"",31,0,102,0,"★ 上下装饰2"
7,3,,"",29,0,103,0,"★ 壁式画框"
8,3,,"",13,0,104,0,"★ 不规则"
9,0,,"",0,0,0,0,""
10,0,,"",0,0,0,0,""
11,0,,"",0,0,0,0,""
12,0,,"",0,0,0,0,""
13,0,,"",0,0,0,0,""
14,0,,"",0,0,0,0,""
15,0,,"",0,0,0,0,""
16,0,,"",0,0,0,0,""
17,1,"ui/icon/076000/076901.tex","",0,0,10,0,"◆ 简洁1"
18,1,"ui/icon/076000/076902.tex","",0,255,20,0,"◆ 日记"
19,1,"ui/icon/076000/076903.tex","",0,255,21,0,"◆ 永结同心"
20,1,"ui/icon/076000/076904.tex","",0,255,30,0,"◆ 怪物狩猎1"
21,2,,"GroupPoseFrame9grid001",0,255,1,0,"◆ 相片"
22,2,,"GroupPoseFrame9grid002",0,255,3,0,"◆ 拍立得"
23,2,,"GroupPoseFrame9grid003",0,255,5,0,"◆ 电影"
24,1,"ui/icon/076000/076905.tex","",0,255,31,0,"◆ 怪物狩猎2"
25,1,"ui/icon/076000/076906.tex","",0,2069202175,32,0,"◆ 九宫幻卡1"
26,1,"ui/icon/076000/076907.tex","",0,2069202175,33,0,"◆ 九宫幻卡2"
27,1,"ui/icon/076000/076908.tex","",0,255,11,0,"◆ 简洁2"
28,1,"ui/icon/076000/076911.tex","",0,255,40,0,"◆ 碧海内墙"
29,1,"ui/icon/076000/076909.tex","",0,255,41,0,"◆ 密林内墙"
30,1,"ui/icon/076000/076910.tex","",0,255,42,0,"◆ 黄沙内墙"
31,0,,"",0,0,0,0,""
32,0,,"",0,0,0,0,""
33,0,,"",0,0,0,0,""
34,0,,"",0,0,0,0,""
35,0,,"",0,0,0,0,""
36,0,,"",0,0,0,0,""
37,0,,"",0,0,0,0,""
38,1,"ui/icon/076000/076912.tex","",0,255,12,0,"◆ 简洁3"
39,1,"ui/icon/076000/076225.tex","",0,255,180,120,"◆ <Gui(112)/>嘉年华特制边框1"
40,1,"ui/icon/076000/076226.tex","",0,255,181,120,"◆ <Gui(112)/>嘉年华特制边框2"
41,1,"ui/icon/076000/076227.tex","",0,255,182,120,"◆ <Gui(112)/>嘉年华特制边框3"
42,1,"ui/icon/076000/076228.tex","",0,255,183,120,"◆ <Gui(112)/>嘉年华特制边框4"
43,1,"ui/icon/076000/076229.tex","",0,255,184,120,"◆ <Gui(112)/>嘉年华特制边框5"
44,1,"ui/icon/076000/076230.tex","",0,255,185,120,"◆ <Gui(112)/>嘉年华特制边框6"
45,1,"ui/icon/076000/076231.tex","",0,255,186,120,"◆ <Gui(112)/>嘉年华特制边框7"
46,0,,"",0,0,0,0,""
47,0,,"",0,0,0,0,""
48,0,,"",0,0,0,0,""
49,0,,"",0,0,0,0,""
50,0,,"",0,0,0,0,""
51,0,,"",0,0,0,0,""
52,0,,"",0,0,0,0,""
53,1,"ui/icon/076000/076913.tex","",0,255,90,0,"◆ 五线谱"
54,1,"ui/icon/076000/076914.tex","",0,2058672639,50,0,"◆ 无人岛1"
55,1,"ui/icon/076000/076915.tex","",0,2058672639,51,0,"◆ 无人岛2"
56,1,"ui/icon/076000/076251.tex","",0,4294967295,200,0,"◆ <Gui(100)/>10周年纪念1"
57,1,"ui/icon/076000/076252.tex","",0,4294967295,201,0,"◆ <Gui(100)/>10周年纪念2"
58,1,"ui/icon/076000/076253.tex","",0,4294967295,202,0,"◆ <Gui(100)/>10周年纪念3"
59,1,"ui/icon/076000/076254.tex","",0,4294967295,203,0,"◆ <Gui(100)/>10周年纪念4"
60,1,"ui/icon/076000/076255.tex","",0,4291983615,204,0,"◆ <Gui(100)/>10周年纪念5"
61,1,"ui/icon/076000/076256.tex","",0,808993023,205,0,"◆ <Gui(100)/>10周年纪念6"
62,1,"ui/icon/076000/076257.tex","",0,808993023,206,0,"◆ <Gui(100)/>10周年纪念7"
63,1,"ui/icon/076000/076258.tex","",0,2888839423,207,0,"◆ <Gui(100)/>10周年纪念8"
64,1,"ui/icon/076000/076259.tex","",0,1209801983,208,0,"◆ <Gui(100)/>10周年纪念9"
65,1,"ui/icon/076000/076260.tex","",0,337785087,209,0,"◆ <Gui(100)/>10周年纪念10"
66,1,"ui/icon/127000/chs/127955.tex","",0,255,255,0,"◆ 版本标志"
67,1,"ui/icon/076000/076916.tex","",0,255,15,0,"◆ 白色花边"
68,1,"ui/icon/076000/076917.tex","",0,255,16,0,"◆ 黑色花边"
69,1,"ui/icon/076000/076918.tex","",0,255,13,0,"◆ 金属1"
70,1,"ui/icon/076000/076919.tex","",0,255,14,0,"◆ 金属2"
71,1,"ui/icon/076000/076920.tex","",0,255,17,0,"◆ 角花1"
72,1,"ui/icon/076000/076921.tex","",0,255,18,0,"◆ 角花2"
